ID,Eje_Tematico,Autor_Filosofico,Concepto_Clave,Contexto_Digital,Pregunta_Investigacion_RAG,Keywords_Busqueda,Tipo_Fuente_Sugerida
1,Crisis de Sentido,Jean-Paul Sartre / Albert Camus,Vacío Existencial / Nausea,Redes Sociales (Instagram/TikTok),¿Qué expresiones utiliza la Gen Z para describir el vacío o la falta de propósito en redes?,"vacío existencial, nausea, sin sentido, scrolling infinito, nada",Discurso Social / Posts
2,Crisis de Sentido,Jean-François Lyotard,Fin de los Metarrelatos,Caída de instituciones tradicionales,¿Hay evidencia de rechazo a los valores tradicionales o grandes ideologías en la Gen Z?,"desconfianza institucional, sin futuro, fake news, post-verdad",Artículos Académicos / Ensayos
3,Identidad,Zygmunt Bauman,Identidad Líquida / Amor Líquido,Relaciones digitales y Apps de citas,¿Cómo se refleja la falta de compromiso o la fragilidad de vínculos en los textos recuperados?,"ghosting, situacioneship, compromiso, fluidez, efímero",Discurso Social / Foros
4,Rendimiento,Byung-Chul Han,Sociedad del Cansancio / Autoexplotación,Burnout digital y Cultura del éxito,¿Se observan patrones que apoyen la idea de autoexplotación y culpa por no ser productivo?,"burnout, productividad tóxica, hustle culture, agotamiento, ansiedad",Artículos de Opinión / Blogs
5,Autonomía y Tecnología,Michel Foucault,Biopoder / Panóptico Digital,Vigilancia de datos y Cookies,¿Cómo interpretaría Foucault el régimen de vigilancia algorítmica y la sensación de ser observado?,"privacidad, vigilancia, mis datos, espiando, control",Ensayos Teóricos
6,Autonomía y Tecnología,Martin Heidegger,Gestell (Estructura de emplazamiento),Usuario como recurso (Data commodity),¿Qué evidencias hay de que la tecnología transforma al humano en un simple recurso de datos?,"usuario producto, monetización de datos, deshumanización, algoritmo",Artículos Académicos
7,Autonomía y Tecnología,Jürgen Habermas,Espacio Público,Burbujas de filtro y Eco chambers,¿El espacio público digital fomenta el debate racional o está fragmentado en burbujas?,"burbuja, polarización, cámara de eco, debate tóxico, cancelación",Análisis de Redes
8,Psicología Digital,N/A,Narcisismo Digital,Selfies y Validación externa,¿Qué diferencia hay entre discursos auténticos vs discursos performativos (postureo)?,"likes, validación, influencer, filtro, apariencia",Discurso Social
9,Conducta Algorítmica,N/A,Determinismo Tecnológico,Recomendaciones (Netflix/YouTube),¿La Gen Z percibe que decide sus gustos o siente que el algoritmo moldea sus deseos?,"algoritmo me conoce, fyp, recomendación, adicción, scrollear",Testimonios de Usuarios
10,Salud Mental,N/A,Hiperconectividad,Dopamina y Atención,¿Qué rol juega la hiperconectividad constante en la ansiedad o depresión mencionada en los textos?,"ansiedad social, fomo, desconexión, dopamina, pantalla",Informes de Salud
11,Autonomía,N/A,Agencia Humana vs IA,Inteligencia Artificial Generativa,¿Estamos cediendo nuestra capacidad de decisión y autonomía a la IA?,"chatgpt decide, ia piensa, dependencia tecnológica, automatización",Debate Ético
